Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	div_col	dist_to_isthmus	start_biome
Simulation_1	1.998	0.055	0.175	0.078	1.75	0.549	1	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4953.44873279652	4
Simulation_2	2.501	0.032	0.238	0.041	2.377	0.323	2	0.05	12000	1000	1	500	111	1	0	1	223	223	0	1	0.547841306884481	25	3872.60494060879	4
Simulation_3	1.495	0.078	0.112	0.114	1.123	0.775	3	0.05	12000	1000	1	500	111	1	0	1	3	3	0	0	-1	-1	7612.74894366891	5
Simulation_4	1.747	0.044	0.206	0.023	2.691	0.889	4	0.05	12000	1000	1	500	111	1	0	1	108	109	1	1	0.652858809801634	28	4411.42358945317	3
Simulation_5	2.752	0.089	0.081	0.096	1.436	0.436	5	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4590.68215608864	4
Simulation_6	2.25	0.021	0.144	0.059	0.809	0.662	6	0.05	12000	1000	1	500	111	1	0	1	7	9	2	0	-1	-1	4093.51623906417	4
Simulation_7	1.244	0.066	0.269	0.132	2.064	0.21	7	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5151.08237216938	4
Simulation_8	1.369	0.038	0.128	0.105	1.907	0.266	8	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5190.0987741751	3
Simulation_9	2.375	0.083	0.253	0.032	0.652	0.719	9	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	8299.81476357966	5
Simulation_10	2.878	0.015	0.191	0.141	1.279	0.493	10	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6962.72181872771	4
Simulation_11	1.872	0.061	0.065	0.068	2.534	0.945	11	0.05	12000	1000	1	500	111	1	0	1	126	127	1	1	0.991831971995333	121	1664.48807336653	2
Simulation_12	1.621	0.027	0.285	0.087	1.593	0.832	12	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6620.0213625578	4
Simulation_13	2.627	0.072	0.159	0.014	2.848	0.379	13	0.05	12000	1000	1	500	111	1	0	1	10	10	0	1	0.734539089848308	9	4257.77064182026	3
Simulation_14	2.124	0.049	0.097	0.123	2.221	0.606	14	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6158.13386792219	4
Simulation_15	1.118	0.095	0.222	0.05	0.966	0.153	15	0.05	12000	1000	1	500	111	0	66	1	3476	3484	8	0	-1	-1	6549.71868150346	3
Simulation_16	1.181	0.052	0.261	0.064	1.201	0.408	16	0.05	12000	1000	1	500	111	0	103	1	2284	2294	10	1	0.998249708284714	1636	555.97550588742	1
Simulation_17	2.187	0.097	0.136	0.137	2.456	0.86	17	0.05	12000	1000	1	500	111	1	0	1	52	52	0	1	0.946907817969662	52	1939.36644318789	1
Simulation_18	2.69	0.029	0.073	0.027	1.828	0.181	18	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6718.65579613308	4
